Log Message
09 19 2023 01:14:06 11.1.0.53 <LOC0:INFO> Sep 19 01:14:06 11.1.0.53 EVID:0009 172.16.0.6: user account nancy.mcgowan.72 deleted by Administrator Session ID: 3bc8260a-0c6d-4bc7-b04b-d5582c691fbe
09 19 2023 01:12:28 11.1.0.53 <LOC0:INFO> Sep 19 01:12:28 11.1.0.53 EVID:0004 172.16.0.12: successful login for user nancy.mcgowan.72 from 192.168.45.20 Session ID: 2c740c64-ab18-4edc-8e48-d9cd01819985
09 19 2023 01:04:38 11.1.0.53 <LOC0:INFO> Sep 19 01:04:38 11.1.0.53 EVID:0004 Server4: successful login for user nancy.mcgowan.72 from 192.168.45.17 Session ID: 917ce504-7a9a-4eaa-b10a-f00ef4bcae20
09 19 2023 00:56:23 11.1.0.53 <LOC0:INFO> Sep 19 00:56:23 11.1.0.53 EVID:0004 172.16.0.17: successful login for user nancy.mcgowan.72 from 192.168.45.20 Session ID: 40bf9b0e-b91a-40e2-8313-a7d83165fa20
09 19 2023 00:37:35 11.1.0.53 <LOC0:INFO> Sep 19 00:37:35 11.1.0.53 EVID:0004 172.16.0.5: successful login for user nancy.mcgowan.72 from 192.168.45.18 Session ID: 723f1b8d-f0c9-4298-8168-ce26028ced9d
09 19 2023 00:37:20 11.1.0.53 <LOC0:INFO> Sep 19 00:37:20 11.1.0.53 EVID:0004 172.16.0.8: successful login for user nancy.mcgowan.72 from 192.168.45.8 Session ID: ec4ee223-e611-4825-b464-b72a0a578e10
09 19 2023 00:27:23 11.1.0.53 <LOC0:INFO> Sep 19 00:27:23 11.1.0.53 EVID:0004 Server3: successful login for user nancy.mcgowan.72 from UserPC16 Session ID: 51d3254f-3047-48e6-ae9b-91fe5f57a01f
09 19 2023 00:20:28 11.1.0.53 <LOC0:INFO> Sep 19 00:20:28 11.1.0.53 EVID:0004 172.16.0.15: successful login for user nancy.mcgowan.72 from UserPC3 Session ID: 4ea07ba6-9e69-44f3-b3c8-882f0625ffd6
09 19 2023 00:03:54 11.1.0.53 <LOC0:INFO> Sep 19 00:03:54 11.1.0.53 EVID:0004 172.16.0.10: successful login for user nancy.mcgowan.72 from UserPC2 Session ID: eda92c6e-0477-476b-ba6e-82320e4b1bd4
09 18 2023 23:54:16 11.1.0.53 <LOC0:INFO> Sep 18 23:54:16 11.1.0.53 EVID:0004 Server2: successful login for user nancy.mcgowan.72 from 192.168.45.17 Session ID: 5bfb3b82-04f5-4a93-bc28-2027c57fc62d
09 18 2023 23:49:42 11.1.0.53 <LOC0:INFO> Sep 18 23:49:42 11.1.0.53 EVID:0004 172.16.0.12: successful login for user nancy.mcgowan.72 from 192.168.45.27 Session ID: 5900047d-fb20-4632-bf93-300dc7affe44
09 18 2023 23:49:19 11.1.0.53 <LOC0:INFO> Sep 18 23:49:19 11.1.0.53 EVID:0004 172.16.0.1: successful login for user nancy.mcgowan.72 from UserPC13 Session ID: 1dc5a19a-9bd2-4e40-901c-3b7b392138f0
09 18 2023 23:31:45 11.1.0.53 <LOC0:INFO> Sep 18 23:31:45 11.1.0.53 EVID:0004 172.16.0.4: successful login for user nancy.mcgowan.72 from 192.168.45.32 Session ID: 9b9cb651-0d3b-4bd0-bff4-483e14993667
09 18 2023 22:51:33 11.1.0.53 <LOC0:INFO> Sep 18 22:51:33 11.1.0.53 EVID:0004 172.16.0.7: successful login for user nancy.mcgowan.72 from 192.168.45.30 Session ID: 21d462e1-5dd1-4580-9d23-e6af2b6549af
09 18 2023 22:44:33 11.1.0.53 <LOC0:INFO> Sep 18 22:44:33 11.1.0.53 EVID:0004 172.16.0.19: successful login for user nancy.mcgowan.72 from 192.168.45.20 Session ID: caa0372c-7d82-410d-98be-05a2f2da115c
09 18 2023 22:44:11 11.1.0.53 <LOC0:INFO> Sep 18 22:44:11 11.1.0.53 EVID:0004 172.16.0.1: successful login for user nancy.mcgowan.72 from UserPC4 Session ID: f0aecd67-aa5a-46b6-b05b-74f1d7dc1173
09 18 2023 22:37:40 11.1.0.53 <LOC0:INFO> Sep 18 22:37:40 11.1.0.53 EVID:0004 172.16.0.2: successful login for user nancy.mcgowan.72 from UserPC9 Session ID: 3385bd43-98cb-4712-9bb8-530581f75034
09 18 2023 22:26:05 11.1.0.53 <LOC0:INFO> Sep 18 22:26:05 11.1.0.53 EVID:0004 172.16.0.15: successful login for user nancy.mcgowan.72 from 192.168.45.22 Session ID: 3f644d40-a6b1-479c-920e-55782a6f3b89
09 18 2023 22:19:26 11.1.0.53 <LOC0:INFO> Sep 18 22:19:26 11.1.0.53 EVID:0004 172.16.0.10: successful login for user nancy.mcgowan.72 from UserPC8 Session ID: 50fda435-33e3-4e47-9879-08f71ebac780
09 18 2023 22:13:58 11.1.0.53 <LOC0:INFO> Sep 18 22:13:58 11.1.0.53 EVID:0004 172.16.0.7: successful login for user nancy.mcgowan.72 from UserPC11 Session ID: 08a2a91a-dff0-4b9d-8cf5-6e4dc199977d
09 18 2023 22:06:00 11.1.0.53 <LOC0:INFO> Sep 18 22:06:00 11.1.0.53 EVID:0004 Server2: successful login for user nancy.mcgowan.72 from 192.168.45.18 Session ID: d828e767-acd3-4771-ba03-691e56eff30b
09 18 2023 21:52:59 11.1.0.53 <LOC0:INFO> Sep 18 21:52:59 11.1.0.53 EVID:0004 172.16.0.15: successful login for user nancy.mcgowan.72 from UserPC8 Session ID: d749ac60-e314-43f6-b172-49cd784b050d
09 18 2023 21:39:01 11.1.0.53 <LOC0:INFO> Sep 18 21:39:01 11.1.0.53 EVID:0004 172.16.0.20: successful login for user nancy.mcgowan.72 from 192.168.45.28 Session ID: 1f3e93e6-af76-490c-833c-607edccbd21d
09 18 2023 20:33:44 11.1.0.53 <LOC0:INFO> Sep 18 20:33:44 11.1.0.53 EVID:0004 172.16.0.14: successful login for user nancy.mcgowan.72 from UserPC9 Session ID: 01720d8b-ca41-4d66-8c8d-84f247389d9b
09 18 2023 20:18:38 11.1.0.53 <LOC0:INFO> Sep 18 20:18:38 11.1.0.53 EVID:0004 172.16.0.11: successful login for user nancy.mcgowan.72 from 192.168.45.6 Session ID: 56eaccec-e0ee-4de6-91c3-a3f3c1ed6696
09 18 2023 20:12:31 11.1.0.53 <LOC0:INFO> Sep 18 20:12:31 11.1.0.53 EVID:0004 172.16.0.18: successful login for user nancy.mcgowan.72 from 192.168.45.2 Session ID: 9df4d539-5a4b-4895-81f8-d995e2ddb5e3
