Log Message
09 19 2023 01:14:00 11.1.0.53 <LOC0:INFO> Sep 19 01:14:00 11.1.0.53 EVID:0009 WebServer2.acme.com: user account joyce.olson.11 deleted by Administrator Session ID: d0196171-c83d-4100-a3ee-682d29ccb695
09 19 2023 01:13:32 11.1.0.53 <LOC0:INFO> Sep 19 01:13:32 11.1.0.53 EVID:0004 172.16.0.2: successful login for user joyce.olson.11 from UserPC11 Session ID: f9dfa2b1-3fd0-4528-9efb-64e2899a507b
09 19 2023 01:09:36 11.1.0.53 <LOC0:INFO> Sep 19 01:09:36 11.1.0.53 EVID:0004 172.16.0.12: successful login for user joyce.olson.11 from UserPC9 Session ID: 07e9b3de-fcb5-460b-a938-87d92aa1b857
09 19 2023 01:07:46 11.1.0.53 <LOC0:INFO> Sep 19 01:07:46 11.1.0.53 EVID:0004 172.16.0.5: successful login for user joyce.olson.11 from UserPC8 Session ID: 42baf685-968f-4f4a-bd3e-2479730a5bc9
09 19 2023 01:00:45 11.1.0.53 <LOC0:INFO> Sep 19 01:00:45 11.1.0.53 EVID:0004 172.16.0.2: successful login for user joyce.olson.11 from UserPC1 Session ID: 52160fd1-d7a0-4e32-811c-1d2868028346
09 19 2023 01:00:23 11.1.0.53 <LOC0:INFO> Sep 19 01:00:23 11.1.0.53 EVID:0004 Server1: successful login for user joyce.olson.11 from 192.168.43.33 Session ID: d8319596-5745-4edd-92bc-bbbac94c9c5c
09 19 2023 00:50:28 11.1.0.53 <LOC0:INFO> Sep 19 00:50:28 11.1.0.53 EVID:0004 172.16.0.16: successful login for user joyce.olson.11 from UserPC14 Session ID: 4a34ab3b-55ca-4aa4-ba4e-8c8e26960d09
09 19 2023 00:45:24 11.1.0.53 <LOC0:INFO> Sep 19 00:45:24 11.1.0.53 EVID:0004 172.16.0.17: successful login for user joyce.olson.11 from 192.168.43.11 Session ID: 09e3d6d9-930d-4568-9e44-40a3a363a967
09 19 2023 00:20:16 11.1.0.53 <LOC0:INFO> Sep 19 00:20:16 11.1.0.53 EVID:0004 172.16.0.18: successful login for user joyce.olson.11 from UserPC9 Session ID: e6a71b12-2dec-4707-a7e6-9d5b0269ae2b
09 19 2023 00:15:43 11.1.0.53 <LOC0:INFO> Sep 19 00:15:43 11.1.0.53 EVID:0004 172.16.0.15: successful login for user joyce.olson.11 from UserPC5 Session ID: 7cf45941-0e96-453f-aa57-6b5c58d6bfc2
09 19 2023 00:02:26 11.1.0.53 <LOC0:INFO> Sep 19 00:02:26 11.1.0.53 EVID:0004 172.16.0.7: successful login for user joyce.olson.11 from 192.168.43.21 Session ID: 619d9d13-39f7-4a85-ae62-7b2ae45e4471
