Log Message
09 19 2023 01:13:58 11.1.0.53 <LOC0:INFO> Sep 19 01:13:58 11.1.0.53 EVID:0009 172.16.0.10: user account susan.mccall.42 deleted by Administrator Session ID: 3605ef69-9865-4c1c-998b-80bd5310d4fb
09 19 2023 01:04:26 11.1.0.53 <LOC0:INFO> Sep 19 01:04:26 11.1.0.53 EVID:0004 172.16.0.4: successful login for user susan.mccall.42 from 192.168.43.14 Session ID: 0aa3bfce-a4b7-4589-b3c3-aa7f9be08c9e
09 19 2023 00:59:14 11.1.0.53 <LOC0:INFO> Sep 19 00:59:14 11.1.0.53 EVID:0004 172.16.0.11: successful login for user susan.mccall.42 from 192.168.43.9 Session ID: de61be1f-cba1-43e1-8661-332066481460
09 19 2023 00:58:30 11.1.0.53 <LOC0:INFO> Sep 19 00:58:30 11.1.0.53 EVID:0004 172.16.0.12: successful login for user susan.mccall.42 from 192.168.43.13 Session ID: 35b49455-f379-4fe7-877f-1826312cfa9c
09 19 2023 00:51:49 11.1.0.53 <LOC0:INFO> Sep 19 00:51:49 11.1.0.53 EVID:0004 Server1: successful login for user susan.mccall.42 from 192.168.43.9 Session ID: 0be9d393-bd05-4838-877a-c57199406ac5
09 19 2023 00:48:26 11.1.0.53 <LOC0:INFO> Sep 19 00:48:26 11.1.0.53 EVID:0004 172.16.0.15: successful login for user susan.mccall.42 from 192.168.43.13 Session ID: b9564b27-987a-47ed-a9d6-ba2001405998
09 19 2023 00:43:27 11.1.0.53 <LOC0:INFO> Sep 19 00:43:27 11.1.0.53 EVID:0004 172.16.0.9: successful login for user susan.mccall.42 from 192.168.43.24 Session ID: 39a6e867-b8e0-4d3f-bf96-380c9708370a
09 19 2023 00:35:53 11.1.0.53 <LOC0:INFO> Sep 19 00:35:53 11.1.0.53 EVID:0004 172.16.0.14: successful login for user susan.mccall.42 from 192.168.43.8 Session ID: 8a144514-88bd-4b6b-a347-6ceb0b5ae6e9
09 19 2023 00:13:03 11.1.0.53 <LOC0:INFO> Sep 19 00:13:03 11.1.0.53 EVID:0004 172.16.0.3: successful login for user susan.mccall.42 from UserPC7 Session ID: c5ba88c1-2350-473a-afc9-a90d05d2d041
09 19 2023 00:12:46 11.1.0.53 <LOC0:INFO> Sep 19 00:12:46 11.1.0.53 EVID:0004 172.16.0.6: successful login for user susan.mccall.42 from 192.168.43.11 Session ID: 98631376-f119-416d-a873-88ac88cfc5f3
09 18 2023 23:48:31 11.1.0.53 <LOC0:INFO> Sep 18 23:48:31 11.1.0.53 EVID:0004 172.16.0.7: successful login for user susan.mccall.42 from 192.168.43.21 Session ID: de647603-9b4c-4667-8132-c555d573be99
09 18 2023 22:54:47 11.1.0.53 <LOC0:INFO> Sep 18 22:54:47 11.1.0.53 EVID:0004 Server5: successful login for user susan.mccall.42 from 192.168.43.17 Session ID: efae2f1a-66a6-4338-951e-735a4c19f34f
09 18 2023 22:53:55 11.1.0.53 <LOC0:INFO> Sep 18 22:53:55 11.1.0.53 EVID:0004 172.16.0.18: successful login for user susan.mccall.42 from 192.168.43.27 Session ID: 85b5370e-659d-43a0-8afd-5e346b1979fe
09 18 2023 22:45:06 11.1.0.53 <LOC0:INFO> Sep 18 22:45:06 11.1.0.53 EVID:0004 172.16.0.3: successful login for user susan.mccall.42 from 192.168.43.8 Session ID: c710ebbe-7d67-4c9c-b4e9-9cc3c97c0d68
09 18 2023 22:41:16 11.1.0.53 <LOC0:INFO> Sep 18 22:41:16 11.1.0.53 EVID:0004 172.16.0.3: successful login for user susan.mccall.42 from 192.168.43.8 Session ID: b032d800-d0e5-488c-8bcf-390139a627a7
09 18 2023 22:39:01 11.1.0.53 <LOC0:INFO> Sep 18 22:39:01 11.1.0.53 EVID:0004 172.16.0.3: successful login for user susan.mccall.42 from UserPC12 Session ID: 1254b25c-b869-4fe7-901e-8ad518365d8a
09 18 2023 22:25:34 11.1.0.53 <LOC0:INFO> Sep 18 22:25:34 11.1.0.53 EVID:0004 172.16.0.3: successful login for user susan.mccall.42 from 192.168.43.4 Session ID: 939ca619-3a68-4bef-a0b8-1249aafde73d
09 18 2023 22:25:29 11.1.0.53 <LOC0:INFO> Sep 18 22:25:29 11.1.0.53 EVID:0004 172.16.0.20: successful login for user susan.mccall.42 from UserPC12 Session ID: d4d0cf4a-2036-4e4a-a5df-64566335238b
09 18 2023 22:19:02 11.1.0.53 <LOC0:INFO> Sep 18 22:19:02 11.1.0.53 EVID:0004 Server3: successful login for user susan.mccall.42 from 192.168.43.26 Session ID: 11b0a462-5072-4cff-ae31-e409a409ae51
09 18 2023 22:08:47 11.1.0.53 <LOC0:INFO> Sep 18 22:08:47 11.1.0.53 EVID:0004 Server2: successful login for user susan.mccall.42 from 192.168.43.19 Session ID: dc1efca3-0ab1-4c60-bbb5-e97d41388808
09 18 2023 22:02:49 11.1.0.53 <LOC0:INFO> Sep 18 22:02:49 11.1.0.53 EVID:0004 Server3: successful login for user susan.mccall.42 from 192.168.43.28 Session ID: 2d64c88e-b406-4f41-8707-b1375ed54d67
